Issue,Timestamp,Action,Label,User,Milestone
36,1424459697,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
37,1427126957,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
37,1427126957,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
37,1424459715,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
38,1427126718,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
38,1427126718,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
38,1424459730,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
39,1427120291,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
39,1427120291,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
39,1427120291,labeled,Step 2: Summarize,user2,Add ALL resources to Paper Comparison RepGrid
39,1424459745,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
40,1427126535,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
40,1427126535,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
40,1424459758,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
41,1427124428,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
41,1427124428,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
41,1424459776,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
42,1427124254,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
42,1427124254,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
42,1424459795,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
43,1427124129,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
43,1427124129,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
43,1424459813,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
44,1427119103,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
44,1427119103,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
44,1424459834,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
45,1427118266,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
45,1427118266,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
45,1424459852,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
46,1427123881,labeled,Key article,user2,Add ALL resources to Paper Comparison RepGrid
46,1427123869,unlabeled,Step 3: Adds Dimension,user2,Add ALL resources to Paper Comparison RepGrid
46,1427123869,unlabeled,Step 2: Summarize,user2,Add ALL resources to Paper Comparison RepGrid
46,1427123869,labeled,Step 4: Dimension added to grid,user2,Add ALL resources to Paper Comparison RepGrid
46,1427120800,labeled,Step 3: Adds Dimension,user2,Add ALL resources to Paper Comparison RepGrid
46,1427120725,unlabeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
46,1427120725,labeled,Step 2: Summarize,user2,Add ALL resources to Paper Comparison RepGrid
46,1426534914,unlabeled,Step 0: Determine if relevant,user2,Add ALL resources to Paper Comparison RepGrid
46,1426534914,labeled,Step 1: Relevant Paper,user2,Add ALL resources to Paper Comparison RepGrid
46,1424459877,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
47,1426534690,labeled,Dead End,user2,Add ALL resources to Paper Comparison RepGrid
47,1424459899,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
48,1426781167,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
48,1426781167,labeled,If time,user1,Add ALL resources to Paper Comparison RepGrid
48,1426626913,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
48,1426626913,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
48,1424459916,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
49,1426793388,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
49,1426793388,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
49,1426626438,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
49,1426626438,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
49,1426626424,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
49,1426626424,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
49,1424459943,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
50,1426781063,labeled,If time,user1,Add ALL resources to Paper Comparison RepGrid
50,1426626246,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
50,1426626246,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
50,1424459961,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
51,1427200314,labeled,If time,user1,Add ALL resources to Paper Comparison RepGrid
51,1426876954,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
51,1426793538,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
51,1426793538,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
51,1426626115,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
51,1426626115,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
51,1426626111,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
51,1426626111,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
51,1424459983,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
52,1426877923,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
52,1426877923,labeled,Step 4: Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
52,1426876848,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
52,1426793044,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
52,1426793044,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
52,1426625939,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
52,1426625939,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
52,1426625239,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
52,1426625239,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
52,1424460006,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
53,1426875874,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
53,1426875874,labeled,Step 4: Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
53,1426793137,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
53,1426793137,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
53,1426624989,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
53,1426624989,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
53,1426624339,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
53,1426624339,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
53,1424460036,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
54,1426624216,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
54,1426624216,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
54,1424460052,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
55,1426792564,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
55,1426792564,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
55,1426623879,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
55,1426623879,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
55,1426623441,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
55,1426623441,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
55,1424460073,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
56,1426875618,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
56,1426875618,labeled,Step 4: Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
56,1426793310,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
56,1426793310,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
56,1426623365,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
56,1426623365,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
56,1426622993,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
56,1426622993,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
56,1424460119,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
57,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622949,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622949,labeled,Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622949,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622400,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622400,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622159,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
57,1426622159,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
57,1424460126,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
58,1426877447,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
58,1426877447,labeled,Step 4: Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
58,1426792299,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
58,1426792275,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
58,1426789761,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
58,1426789761,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
58,1426781138,labeled,non-paywall,user1,Add ALL resources to Paper Comparison RepGrid
58,1426621719,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
58,1426621711,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
58,1424460149,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
59,1426621539,labeled,Dead End,user1,Add ALL resources to Paper Comparison RepGrid
59,1426621485,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
59,1426621485,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
59,1426621475,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
59,1426621475,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
59,1424460164,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
60,1426874203,unlabeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
60,1426621092,labeled,Dimension added to grid,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620707,unlabeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620707,labeled,Step 3: Adds Dimension,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620673,unlabeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620673,labeled,Step 2: Summarize,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620527,unlabeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
60,1426620527,labeled,Step 1: Relevant Paper,user1,Add ALL resources to Paper Comparison RepGrid
60,1424460182,labeled,Step 0: Determine if relevant,user1,Add ALL resources to Paper Comparison RepGrid
61,1424697663,labeled,Step 2: Summarize,user1,None
62,1425313042,labeled,Our Process,user1,Project 1A: Preliminary Report
67,1427200951,labeled,Writing,user1,Full paper draft
68,1427200961,labeled,Grid,user1,Finalize Rep Grid
69,1427201088,labeled,Grid,user1,Finalize Rep Grid
70,1427201238,labeled,Grid,user1,Finalize Rep Grid
71,1427201274,labeled,Writing,user2,Full paper draft
72,1427214686,labeled,Grid,user1,Finalize Rep Grid
73,1427231699,labeled,Grid,user1,Finalize Rep Grid
74,1427231765,labeled,Writing,user1,Full paper draft
75,1427231813,labeled,Writing,user1,Full paper draft
76,1427294369,labeled,Writing,user1,Full paper draft
77,1427294392,labeled,Writing,user1,Full paper draft
78,1427320184,labeled,In Progress,user1,Full paper draft
78,1427316161,unlabeled,In Progress,user1,Full paper draft
78,1427294649,labeled,In Progress,user1,Full paper draft
78,1427294419,labeled,Writing,user1,Full paper draft
79,1427320190,labeled,In Progress,user1,Full paper draft
79,1427294449,labeled,Writing,user1,Full paper draft
80,1427320127,labeled,In Progress,user1,Full paper draft
80,1427294475,labeled,Writing,user1,Full paper draft
81,1427294525,labeled,Writing,user1,Full paper draft
82,1427294549,labeled,Writing,user1,Full paper draft
83,1427317032,labeled,Writing,user1,Full paper draft
83,1427317032,labeled,Our Process,user1,Full paper draft
84,1427744688,labeled,Grid,user1,Full paper draft
85,1427895064,labeled,Writing,user1,Submit Final Project Report
86,1427895158,labeled,Writing,user1,Submit Final Project Report
87,1427896107,labeled,Writing,user1,Submit Final Project Report
88,1427896128,labeled,Writing,user1,Submit Final Project Report
